,text,label,score
0,"This is really interesting polling data about national public attitudes re: California.  It's from the LA Times, in January.  I wonder if this will change substantially in the next two years?  5233025.fs1.hubspotusercontent-na1.net/hubfs/523302...",Positive,0.4275221824645996
1,"Niet been, iets.",Negative,0.7301294207572937
2,"よく考えたらchrがsbさんの腰を両脚で挟んでどうこうとかポストしてたな
いまさらだった……",Negative,0.6647709012031555
3,"#Br0kenColors
This was supposed to be the new MC for the game, but I scrapped this idea too. Instead I got a new OC tho",Negative,0.8349965214729309
4,Congratulations!,Positive,0.978519082069397
5,Mi relación será con un prox3n3t4?? O nos abriremos only? No se sabe,Negative,0.6228613257408142
6,"Weil die Hasenhegemonie sonst ihre Regards senden wird oder so.

Aber nein. Man sieht so selten mal Häschen, da biete ich mich mal völlig selbstlos an. 😁",Negative,0.7381139993667603
7,"Haaland thrives because he gets bucket-loads of chances. OK, he misses a lot of them, but scores lots of goals from lots of chances. He's still getting lots of chances and with KDB rumoured to return I hoped those chances would improve in quality.",Positive,0.9327110648155212
8,nein da steht doch whitener das ist für die zähne,Neutral,0.5265538692474365
9,"落書きのネタ受付中です​:blobcat_oekaki:​
https://odaibako.net/u/op125 #odaibako",Negative,0.41540125012397766
10,I’m really holding space for this team right now.,Positive,0.4814826250076294
11,"Choose 20 books that have stayed with you or influenced you. One book per day for 20 days, in no particular order. No explanations, no reviews, just covers.

3/20

#BookSky💙📚
#Books
#BookChallenge",Negative,0.518013596534729
12,"I like teasing Heroes Journey's as a date.

Which is why I forget to show up.
But I like kicking my feet like a school girl. My Summoner is a gay hoe. Man whore if you will.
#feh #fireemblem",Negative,0.9307809472084045
13,It does. Polestar 2 that’s let itself go.,Positive,0.6224192976951599
14,"Thanks to Bluesky, fixed some childhood trauma",Positive,0.7900923490524292
15,"Autocorrect is suggesting ""traumy"" or ""traums"" plus ""trains""

Childhood Trains. Happy sigh.",Negative,0.8377768397331238
16,TIL,Positive,0.4720655083656311
17,久留里駅の駅舎は1912年（大正元年）12月の開業のまま。1936年（昭和11年）3月に上総亀山駅まで延伸したのに‥‥😢 www.pahoo.org/athome/album...,Negative,0.7447138428688049
18,Nie ma tu większego sensu. Usługi Nintendo dla 3DS zostały wyłączone lata po premierze Switcha. Chiny są po prostu walnięte pod względem kontroli. Najprawdopodobniej Nintendo nie chciało otworzyć jakichś protokołów na poczet cenzury i zachęcono ich do wycofania się z rynku.,Negative,0.5497015118598938
19,"""this is comeuppance, bro.
That aint no regular dog""",Negative,0.5090813040733337
20,"Le viol présumé d’une avocate française par « trois hommes issus de grandes familles » secoue le Maroc https://www.lemonde.fr/afrique/article/2024/11/27/au-maroc-le-viol-presume-d-une-avocate-francaise-ebranle-la-bonne-societe_6416469_3212.html
#infos #lemonde",Negative,0.646694004535675
21,Constantly disappointed with the compression quality in both video and images in this website. Anyone has tips on how to upload media and keeping quality high? @bsky.app,Negative,0.9443196058273315
22,"Bastante meh cierta trama que le han metido ahora a Deb, pero bueno, lo demás bien",Negative,0.4087630808353424
23,One of my work regulars got me this gillman bag by Micheline Pitt and I'm getting it next week and I'm SO excited y'all,Positive,0.7912047505378723
24,"Yay, I can repost my old lewdies on here!!! :D
#nsfw #sexy #altgirl #egirl #gothgirl #fansly #of #onlyfans #lewds #sw #swer",Positive,0.8788206577301025
25,"Can't wait for tonight's game a win would be incredible,and I've no work till next Wednesday so will be having a few beers 🍀",Positive,0.9135448932647705
26,😐🤡🖕🫥,Negative,0.995638370513916
27,Yeah I agree. It's become pantomime these days hasn't it.,Negative,0.5281167030334473
28,「いやダンピールの速度じゃないだろバカかよ…」って一人ずつ文句言ってそう,Negative,0.8762708306312561
29,귀여워 증말 ㅋㅋㅋ,Negative,0.802163302898407
30,You could give me the chance to miss you every once in a while,Negative,0.4026358723640442
31,"다들여기잇엇군요
여기인장까망밤이라좋아(빈하트)",Negative,0.5205838084220886
32,디코 12시간이 대체 무슨 단어의 조합이지,Positive,0.4128616452217102
33,맞네...지금 천둥침,Negative,0.43157050013542175
34,"Moulton rushes to the press to say he's so scared about his daughters playing sports among transgender people

does Moulton think transgender people in 50% of the country are worried about being exterminated and being the repeated targets of overt nazi propaganda tactics",Negative,0.928875207901001
35,"""Oh hi Grandma...""",Positive,0.6867087483406067
36,Хахахахахаахха,Negative,0.3874097168445587
37,So uh... I'll be over around 3:00. Then again around 7:00. 😉,Positive,0.4389142692089081
38,Finally catching up on this week's #Neighbours - Shane and Jane are adorable together. But omg Karl with the bad timing! 🤣,Negative,0.6908265352249146
39,"Demand for options protection against an equity market crash is rising, even as a post-election rally takes US stocks to record highs reut.rs/4fXfb7A",Positive,0.45865824818611145
40,Japan,Positive,0.5152310132980347
41,"Choose 20 books that have stayed with you or influenced you. One book per day in no particular order. No explanations. No reviews. Just covers. #books #booksky💙📚 #bookchallenge

5: Together Is Better www.goodreads.com/book/show/29...",Negative,0.7294343113899231
42,海外のお菓子って美味しい,Negative,0.73544842004776
43,youtu.be/6oGGLpl18rs?...,Positive,0.4529212415218353
44,How to prove a point 101.,Positive,0.43627414107322693
